priority,skill_name,source_repo,source_url,install_path_or_command,fit_for_workbench,main_benefit,risk_level,status,recommendation
1,playwright,openai/skills,https://github.com/openai/skills/tree/main/skills/.curated/playwright,"skill-installer: repo openai/skills path skills/.curated/playwright","工作助手;信息助手;电商助手;账号数据复盘","用真实浏览器做网页自动化、截图、表单与数据提取；适合 Kalodata/FastMoss/TikTok 等网页流程","中","待确认","建议安装，但先确认是否与你现有 browser 插件重复"
2,playwright-interactive,openai/skills,https://github.com/openai/skills/tree/main/skills/.curated/playwright-interactive,"skill-installer: repo openai/skills path skills/.curated/playwright-interactive","工作助手;剪辑/自媒体助手;工作台调试","持久化浏览器或 Electron 调试，适合复杂网页和本地应用自动化","中","待确认","建议安装，适合作为工作台长期调试能力"
3,docx-win,dachent/skills,https://github.com/dachent/skills/tree/main/docx-win,"skill-installer: repo dachent/skills path docx-win","Office 助手","Windows 原生 Word COM 自动化，适合真实 Word 桌面端文件处理与格式保真","高","待确认","建议谨慎安装；需要 Microsoft Word 桌面版和交互式桌面"
4,pptx-win,dachent/skills,https://github.com/dachent/skills/tree/main/pptx-win,"skill-installer: repo dachent/skills path pptx-win","Office 助手;自媒体/IP 助手","Windows 原生 PowerPoint COM 自动化，适合 PPT 真实渲染、导出和视觉 QA","高","待确认","建议谨慎安装；需要 PowerPoint 桌面版"
5,xlsx-win,dachent/skills,https://github.com/dachent/skills/tree/main/xlsx-win,"skill-installer: repo dachent/skills path xlsx-win","Office 助手;电商助手;账号数据复盘","Windows 原生 Excel COM 自动化，适合真实 Excel 计算、图表、刷新和导出","高","待确认","建议谨慎安装；需要 Excel 桌面版"
6,office-pdf,arih04x/office-skills,https://github.com/arih04x/office-skills/tree/main/office-pdf,"skill-installer: repo arih04x/office-skills path office-pdf","Office 助手;交付助手;资讯助手","PDF 创建、检查、渲染、抽取、合并和 QA；适合报告/合同/资料处理","中高","待确认","可作为 PDF 能力补充；需先检查依赖和脚本"
7,office-motion,arih04x/office-skills,https://github.com/arih04x/office-skills/tree/main/office-motion,"skill-installer: repo arih04x/office-skills path office-motion","自媒体/IP 助手;剪辑助手;PPT 助手","生成促销 GIF、PPT 动效素材、短循环和视频/GIF 转换","高","待确认","适合内容创作，但依赖 FFmpeg/Pillow，先小范围试装"
8,email-draft-polish,ComposioHQ/awesome-codex-skills,https://github.com/ComposioHQ/awesome-codex-skills/tree/master/email-draft-polish,"skill-installer: repo ComposioHQ/awesome-codex-skills path email-draft-polish","信息助手;交付助手","邮件草稿润色、商务表达优化；适合 163/Gmail 草稿生成","低中","待确认","建议优先于 connect 类安装；它偏文本草稿，外发风险更低"
9,connect,ComposioHQ/awesome-codex-skills,https://github.com/ComposioHQ/awesome-codex-skills/tree/master/connect,"skill-installer: repo ComposioHQ/awesome-codex-skills path connect","信息助手;交付助手;工作助手","连接 Gmail/Slack/GitHub/Notion 等 1000+ app 执行动作","高","待确认","只建议在明确账号授权和发送确认机制后安装"
10,serenity-alpha,haskaomni/serenity-skill,https://github.com/haskaomni/serenity-skill/tree/main/skills/serenity-alpha,"skill-installer: repo haskaomni/serenity-skill path skills/serenity-alpha","金融助手;资讯助手","把市场新闻拆成需求、财务影响、验证链和短期催化假设","中","待确认","建议安装，用于资讯到投资假设；不用于自动真实交易"
11,buy-side-equity-research-memo,haskaomni/serenity-skill,https://github.com/haskaomni/serenity-skill/tree/main/skills/buy-side-equity-research-memo,"skill-installer: repo haskaomni/serenity-skill path skills/buy-side-equity-research-memo","金融助手","基于 SEC/IR/财报等来源生成买方研究备忘录、催化、风险和跟踪表","中","候补","如果你想加强长期投资研究，可作为 serenity-alpha 后续补充"
12,Sniff news opportunity,LaiYutao/Sniff-A-Skill-for-News-Driven-Opportunity-Sensing,https://github.com/LaiYutao/Sniff-A-Skill-for-News-Driven-Opportunity-Sensing,"待进一步确认具体 skill 路径","资讯助手;电商助手;自媒体/IP 助手","把高关注新闻转成可研究的机会线索","中高","继续观察","搜索结果相关，但本次未能稳定打开仓库内容，暂不建议直接安装"
